tinyos-main-apps-BaseStation.ihex,0x8d1a-0x80f2,0xc28,0xa3fa-0x8d1a,0x16e0,0xa572-0xa3fa,0x178,0xacc2-0xa572,0x750,0xb9da-0xacc2,0xd18,0xbeae-0xb9da,0x4d4,0xbfa2-0xbeae,0xf4,0xbffa-0xbfa2,0x58,0xc7f6-0xbffa,0x7fc,0xe67a-0xc7f6,0x1e84,0xe98a-0xe67a,0x310,0xf42e-0xe98a,0xaa4,0xf456-0xf42e,0x28,0xf596-0xf456,0x140,0xfa76-0xf596,0x4e0,
nonbeacon-enabled-TestActiveScan-coordinator.ihex,0x83f4-0x7cfc,0x6f8,0x8628-0x83f4,0x234,0xac18-0x8628,0x25f0,0xad2c-0xac18,0x114,0xbe24-0xad2c,0x10f8,0xc674-0xbe24,0x850,0xcee8-0xc674,0x874,0xd0f4-0xcee8,0x20c,0xdba0-0xd0f4,0xaac,0xe484-0xdba0,0x8e4,0xef8c-0xe484,0xb08,0xf260-0xef8c,0x2d4,0xfa3c-0xf260,0x7dc,0xfae4-0xfa3c,0xa8,0xfefc-0xfae4,0x418,
tinyos-main-apps-Blink.ihex,0x6672-0x53fe,0x1274,0x70be-0x6672,0xa4c,0x749e-0x70be,0x3e0,0x7dda-0x749e,0x93c,0x8446-0x7dda,0x66c,0x9a8a-0x8446,0x1644,0xa396-0x9a8a,0x90c,0xb242-0xa396,0xeac,0xb36e-0xb242,0x12c,0xc626-0xb36e,0x12b8,0xd162-0xc626,0xb3c,0xf14a-0xd162,0x1fe8,0xf7ca-0xf14a,0x680,0xfdba-0xf7ca,0x5f0,0xfef6-0xfdba,0x13c,
apps-MOE-MOE-BaseStation.ihex,0x8e12-0x8cfa,0x118,0x92d2-0x8e12,0x4c0,0x972e-0x92d2,0x45c,0x9dc6-0x972e,0x698,0xa77a-0x9dc6,0x9b4,0xa82a-0xa77a,0xb0,0xa8e2-0xa82a,0xb8,0xafb2-0xa8e2,0x6d0,0xb06a-0xafb2,0xb8,0xc02e-0xb06a,0xfc4,0xc18a-0xc02e,0x15c,0xc4a6-0xc18a,0x31c,0xd26a-0xc4a6,0xdc4,0xf272-0xd26a,0x2008,0xf7a2-0xf272,0x530,
apps-MOE-MOE-Attack_replay.ihex,0x83da-0x81e6,0x1f4,0x893e-0x83da,0x564,0x8c0a-0x893e,0x2cc,0x9062-0x8c0a,0x458,0x907a-0x9062,0x18,0x98c2-0x907a,0x848,0x9a7e-0x98c2,0x1bc,0xa1d2-0x9a7e,0x754,0xb2ee-0xa1d2,0x111c,0xb8e2-0xb2ee,0x5f4,0xc8b6-0xb8e2,0xfd4,0xeda6-0xc8b6,0x24f0,0xee52-0xeda6,0xac,0xeeaa-0xee52,0x58,0xf34e-0xeeaa,0x4a4,
apps-MOE-MOE-BroadCast.ihex,0x845a-0x7e36,0x624,0x8af2-0x845a,0x698,0x9e26-0x8af2,0x1334,0x9e5a-0x9e26,0x34,0xa842-0x9e5a,0x9e8,0xaca6-0xa842,0x464,0xb052-0xaca6,0x3ac,0xb9f6-0xb052,0x9a4,0xbaba-0xb9f6,0xc4,0xbf7e-0xbaba,0x4c4,0xd26a-0xbf7e,0x12ec,0xd68e-0xd26a,0x424,0xdcaa-0xd68e,0x61c,0xe4f2-0xdcaa,0x848,0xf12e-0xe4f2,0xc3c,
tinyos-main-apps-MultihopOscilloscope.ihex,0xc40a-0xbf7e,0x48c,0xc4fa-0xc40a,0xf0,0xd126-0xc4fa,0xc2c,0xdbae-0xd126,0xa88,0xe15e-0xdbae,0x5b0,0xe2e6-0xe15e,0x188,0xe79e-0xe2e6,0x4b8,0xea96-0xe79e,0x2f8,0xecf6-0xea96,0x260,0xedf6-0xecf6,0x100,0xf066-0xedf6,0x270,0xf0aa-0xf066,0x44,0xf376-0xf0aa,0x2cc,0xf70a-0xf376,0x394,0xfcd2-0xf70a,0x5c8,
tinyos-main-apps-MultihopOscilloscopeLqi.ihex,0xa41e-0x9fda,0x444,0xa6f6-0xa41e,0x2d8,0xb1d2-0xa6f6,0xadc,0xb9c6-0xb1d2,0x7f4,0xc02a-0xb9c6,0x664,0xc286-0xc02a,0x25c,0xc69e-0xc286,0x418,0xc75e-0xc69e,0xc0,0xc87a-0xc75e,0x11c,0xddb6-0xc87a,0x153c,0xddf2-0xddb6,0x3c,0xeb62-0xddf2,0xd70,0xecfa-0xeb62,0x198,0xfa56-0xecfa,0xd5c,0xfbf2-0xfa56,0x19c,
tinyos-main-apps-Null.ihex,0x59c2-0x5966,0x5c,0x5bae-0x59c2,0x1ec,0x6d9a-0x5bae,0x11ec,0x6f16-0x6d9a,0x17c,0x7b26-0x6f16,0xc10,0x8f1e-0x7b26,0x13f8,0x8fc6-0x8f1e,0xa8,0x9e0a-0x8fc6,0xe44,0x9e7e-0x9e0a,0x74,0xa406-0x9e7e,0x588,0xb3fa-0xa406,0xff4,0xbd06-0xb3fa,0x90c,0xbd22-0xbd06,0x1c,0xf9ca-0xbd22,0x3ca8,0xfefe-0xf9ca,0x534,
tinyos-main-apps-Oscilloscope.ihex,0x8eb0-0x8bd8,0x2d8,0x90cc-0x8eb0,0x21c,0xa24c-0x90cc,0x1180,0xa3a4-0xa24c,0x158,0xa61c-0xa3a4,0x278,0xa784-0xa61c,0x168,0xa964-0xa784,0x1e0,0xae90-0xa964,0x52c,0xafdc-0xae90,0x14c,0xbc48-0xafdc,0xc6c,0xbf38-0xbc48,0x2f0,0xd300-0xbf38,0x13c8,0xe428-0xd300,0x1128,0xf894-0xe428,0x146c,0xf984-0xf894,0xf0,
tinyos-main-apps-Powerup.ihex,0x5924-0x4fe0,0x944,0x5b58-0x5924,0x234,0x5b6c-0x5b58,0x14,0x61dc-0x5b6c,0x670,0x7998-0x61dc,0x17bc,0xa700-0x7998,0x2d68,0xacec-0xa700,0x5ec,0xbb38-0xacec,0xe4c,0xbd64-0xbb38,0x22c,0xcccc-0xbd64,0xf68,0xcda0-0xcccc,0xd4,0xd608-0xcda0,0x868,0xda80-0xd608,0x478,0xeef8-0xda80,0x1478,0xfc00-0xeef8,0xd08,
