APPS  ,P1,P2 
apps-AntiTheft-java.ihex,error,
apps-AntiTheft-Nodes.ihex,error,
apps-AntiTheft-Root.ihex,error,
tinyos-main-apps-BaseStation.ihex,0x72 0xa5 0x76 0xfa 0x2e 0xf4 0xa2 0xbf 0x96 0xf5 0xfa 0xa3 0x1a 0x8d 0x7a 0xe6 0xda 0xb9 0xfa 0xbf 0xae 0xbe 0xf6 0xc7 0x8a 0xe9 0x56 0xf4 0xf2 0x80 0xc2 0xac ,QXWJyBIZjJGIye0wvFAoepWqR2B7utEpUgi9px1kL892s7gviTpKGPVoGjGJ1nirLHfrM3WHcS+vCFkJmlolFaULbhLkhFcHCwmqF9GQJ2No0B3+RD+ljhyPY5BMex8nslAwP2nhQPdwwF8xJYvpnmnCU/6NoLZfeIASXNo5NINPTNridCyrdhg/e9iemS8+bdqfQLETFN3ga6elsMjaIcH7X76KeGPn0zss9fjduG8=
tinyos-main-apps-BaseStation15.4.ihex,0xfc 0x7c 0x84 0xe4 0x60 0xf2 0xf4 0x83 0x74 0xc6 0x8c 0xef 0x28 0x86 0xa0 0xdb 0xfc 0xfe 0xf4 0xd0 0xe4 0xfa 0xe8 0xce 0x24 0xbe 0x3c 0xfa 0x18 0xac 0x2c 0xad ,U9tRB4WfKMJ9qUPqDLA7mRP7bGRrmirnRwoGyo41Ut+QTG5Hw19BSKV3j4KTER1+1Ly9fe60gC5w2BEgMjSW1VL/RGiUPnnnI4KBXGfrfYMED6mI6R3nhkXMvlitqtm2ZObvviAsrhr+2ejLxFiVbYeO7DmGsqQJY9QKy3TK6QR4Uqp93P09g+1xB+u0pRIgc1tuSlKn5/UgskQeU3LDgd79cf9XRWrH80m+XnOwqf0=
tinyos-main-apps-Blink.ihex,0x8a 0x9a 0x62 0xd1 0xfe 0x53 0xba 0xfd 0xca 0xf7 0x4a 0xf1 0x26 0xc6 0xda 0x7d 0x6e 0xb3 0x9e 0x74 0xbe 0x70 0x72 0x66 0x42 0xb2 0xf6 0xfe 0x96 0xa3 0x46 0x84 ,I0Gt2r0IejBMucxh9ieyx7JzqrniP4tFNruRHF1dsH3s15B1bAuFI0kEwAvqFWJgAFGBiT1UdVYQcj7f3Te1G/iyIVjoPBhyiNFCbUMWaak9zIZ9YuMdtkOA7l8JKRO0z6uI3qL54utaMq/eBhJoUeK20sAhgLklsftmulOM/kstFiEKwIHgXqkZ64cfjbr+wg9G3PViK2iVS22ZsmYsm6PzDk9Bfcfd6c7129W9xKU=
tinyos-main-apps-CoapBlip.ihex,error,
tinyos-main-apps-CoapPpp.ihex,error,
opt-tinyos-main-apps.ihex,error,
apps-MOE-MOE-BaseStation.ihex,0xfa 0x8c 0x6a 0xd2 0xe2 0xa8 0x72 0xf2 0xd2 0x92 0xa2 0xf7 0xb2 0xaf 0x8a 0xc1 0x2a 0xa8 0xc6 0x9d 0x6a 0xb0 0x7a 0xa7 0x2e 0x97 0x2e 0xc0 0x12 0x8e 0xa6 0xc4 ,Z1Z+ERFyvnBDjbbwSv0t2LZmTszC6q/ptJkJtmUz9X4aleoq/qoAzcxdyBxV886L9HBWslleOW0gY9nUfb0NagZiHQ7zgCjd/9qkd5r2SeSiyR8sKGlR0u8LUvfJscec/T8dkXAfUBErBhBqGGyCLwNI8YbjAm3mMwhO7yqejFCIpmhEktn32pmyJtCl5N4AzAVE6IdgWVhoM8DBRq4sZmmaawpwW4UxoLixTVuMipY=
apps-MOE-MOE-Attack_replay.ihex,0x3e 0x89 0xe6 0x81 0xe2 0xb8 0xa6 0xed 0xc2 0x98 0xb6 0xc8 0xd2 0xa1 0x62 0x90 0xda 0x83 0x4e 0xf3 0x52 0xee 0x7a 0x90 0x7e 0x9a 0xee 0xb2 0x0a 0x8c 0xaa 0xee ,s+XopMQDsx7qRsiyaKYlOhU/GAYrHK/Sh0xi62MIFNmZNBYlEwTaTNEYIDXYWb05f0cmvqYii2oXZq3uD9lesbwJ5CYMbVZrleVFIEzDJV1NJrovPaZtnkk7BGfwiIzOyr5t2AvEMwrGnkv5pUmXllPqHR1sE7Gi3UX/ezQDsEsL2l0XeeGCqwkOFB8hNnVLxxvJzaVQzFDd3aNuEiayJ99VlwfKpdfsajf1M0TKovw=
apps-MOE-MOE-BroadCast.ihex,0x42 0xa8 0x26 0x9e 0x7e 0xbf 0x6a 0xd2 0x5a 0x84 0xa6 0xac 0x5a 0x9e 0xf2 0xe4 0xba 0xba 0x52 0xb0 0x36 0x7e 0xf6 0xb9 0xaa 0xdc 0x8e 0xd6 0x2e 0xf1 0xf2 0x8a ,f1K5kQXxElIDE+dHa1GXQVdf1TWOBV0A0dN3pgkUyu0dYmapEq6YBDYOljlnQS3QJ8NuSTB0fWIaqr69yWJOUKiekBrgrfPZGA8ShbWzRZwuOVLC/OwZl5N88j5vjQ0EUkjubfQvHiwA9zXeaitT2B9J+FtAEwH9CtzD6nmWiQHNHjaCkd5Pjf3Bcj7ObHS+xSSromN7EGB2NlsEo3fdqDv6OPkBcujVOI2PmeaNuT0=
apps-MOE-MOE-Attack_inject.ihex,error,
apps-MultihopOscilloscope-java.ihex,error,
tinyos-main-apps-MultihopOscilloscope.ihex,0x0a 0xf7 0x0a 0xc4 0xe6 0xe2 0x9e 0xe7 0x96 0xea 0xd2 0xfc 0xf6 0xed 0xfa 0xc4 0xf6 0xec 0x66 0xf0 0xaa 0xf0 0x5e 0xe1 0x26 0xd1 0xae 0xdb 0x7e 0xbf 0x76 0xf3 ,jrw4SaEsaT2Spjyzq2FfnIzTpayo8YPahceHqyQ2ZJ4gxdId9JY/BwbxvflbzssAtjKjMNkVNCmAdsV6p+7j2cAb+8CAw/62ZpiZ1LWfMtvITJ09dgBaBRLoOYy/wDg+cG/azcgXyrtlOeLViBz3s1ob9KRXLdV5EB75Nm1UAg+8L6Um8CDbRlHqkS1j8OoqA8j0E+vvkJ3oOLTiDqAWv/zQwu5EjBedeMBhbzWkke4=
apps-MultihopOscilloscopeLqi-java.ihex,error,
